Keilor Motor Inn,765 Old Calder Highway Keilor,3.8
Taylors Lakes Hotel,7 Melton Highway Taylors Lakes,4.1
Slices Family Restaurant,920 Old Calder Highway Keilor,4
JB Hi-Fi Watergardens,Watergardens Town Centre 144/399 Melton Highway Taylors Lakes,4.1
Watergardens Town Centre,399 Melton Highway Taylors Lakes,4.2
Bunnings Taylors Lakes,430 Melton Highway Taylors Lakes,3.8
HOYTS Watergardens,Watergardens Town Centre 399 Melton Highway Taylors Lakes,4.1
Pizza Depot,1/3 Melton Highway Taylors Lakes,3.5
Cafe Oliveto,Cairnlea Town Center 5/100 Furlong Road Cairnlea,4.1
Gunco Superstore,96 Leslie Street Saint Albans,3.8
Melbourne Pathology,22 Victoria Crescent Saint Albans,1.7
Yes Optus Brimbank,Brimbank Shopping Centre T30 Corner Neale & Station Rd Deer Park,2.7
Florentine Villas Accommodation - Two bed from 155 Three Bed from 190,2/3 Hume Drive Sydenham Melbourne,4.4
The Cheesecake Shop,113 Main Road West Saint Albans,3.5
Supercheap Auto,Melton Highway Taylors Lakes,4
Flight Centre Keilor Downs,36/16 Taylors Road Keilor Downs,3.9
Watergardens Hotel,431 Kings Road Taylors Lakes,3.9
Flight Centre Watergardens,15/399 Melton Highway Taylors Lakes,4.1
Medibank,Watergardens Town Centre - Hotel 119/399 Melton Highway Taylors Lakes,3.3
Flight Centre Brimbank,T67 Neale Road Deer Park,4
Max Brenner Chocolate Bar,Watergardens Town Centre shop r02 399 Melton Highway Taylors Lakes,3.4
Priya Indian cuisine,8/28A Hume Drive Sydenham,4.1
Ultra Tune Watergardens,7/460 Melton Highway Taylors Lakes,3.6
Sydenham Road Early Learning Centre,352 Sydenham Road Sydenham,4
Delahey Community Centre,80 Copperfield Drive Delahey,4.5
Kmart Tyre & Auto Service,Keilor Downs Shopping Town 80 Taylors Road Keilor,4.2
Betts,Shop 105  Watergardens Town Centre 399 Melton Highway Taylors Lakes,3
The Coffee Club Café - Watergardens,Watergardens Town Centre 4/399 Melton Highway Taylors Lakes,3.7
Ultimate Promotions,2 Constance Street Saint Albans,4.7
FMIG St Albans- MRI Bone Thyroid Nuclear Med scan Cardiac scans CT scan Mammogram Xray,101-103 Main Road West Saint Albans,2.2
BP,Fullarton Rd & Keilor Park Drive Keilor Park,3.9
Westside Motorcycles,256 McIntyre Road Sunshine North,4.4
Reece Plumbing,39 Melton Highway Taylors Lakes,3
Lakeside Banquet & Convention Centre,65 Melton Highway Taylors Lakes,4.1
Officeworks Taylors Lakes,2/460 Melton Highway Taylors Lakes,3
Subway,32a/40 Keilor Park Drive Keilor Park,4.1
Norwood Association Inc.,1 Andrea Street Saint Albans,5
Woolworths Taylor Lakes,Sunshine Ave & Melton-Keilor Road Taylors Lakes,3.8
Premier Office National (VIC),50 Concorde Drive Keilor Park,5
Modern Group Victoria,75-77 Lambeck Drive Tullamarine,1.9
McDonald's St Albans,5 Saint Albans Road Saint Albans,3.3
Target Watergardens,Cnr. Kings Road & Keilor-Melton Hwy Taylors Lakes,4
The Luxor Function Centre,503 Sydenham Road Taylors Lakes,4
Cairnlea Superclinic,Cairnlea Town Centre 100 Furlong Road Cairnlea,2.7
ALDI Keilor Downs,80 Taylors Road Keilor Downs,4.1
Delite Fish,100 Furlong Road Cairnlea,3.6
McDonald's Taylors Lakes,Cnr Agonis Drive & Sunshine Avenue Taylors Lakes,3.2
Toyworld Watergardens,142/399 Melton Highway Taylors Lakes,3.9
Red Rooster,Melton Highway Sydenham,3.4
IPC Health - St Albans,1 Andrea Street Saint Albans,3.3
Jetpets,64 Lambeck Drive Tullamarine,4.3
Overnewton Castle Wedding Venue Melbourne,51 Overnewton Road Keilor,4.5
Taylors Lakes Chinese Restaurant,Taylors Lakes Shopping Centre 4/3 Melton Highway Taylors Lakes,3.7
Overnewton Anglican Community College - Keilor Campus,2-30 Overnewton Road Keilor,3.1
BIG W Watergardens,399 Melton Highway Taylors Lakes,3.6
Royale International Couriers Pty Ltd,2 Mallett Rd Tullamarine Melbourne,2.3
